Rank,Partner Id,Partner Name,TOP SE PL State,node_name,state_name,NRV FY-25-26,GM FY-25-26,GM Score,GM Share,PL NRV 25-26,GM%,ABC Mapping,GM% Score,PL%,Total Returns in %,Return Score,Avg Repayment days,Paid within due days,Financing scheme (Y/N),Credit Score,TOTAL SCORE,Cohort
1,1000041207,ALI FERTILIZER,nasim.aktar@agrevolution.in,Murshidabad,West Bengal,4784293,1624019,0.93,0.60%,4784293,34%,A,1,100%,-12%,0.88,7,100%,0,0.96,0.95,Strategic
2,1000031612,SHRI SAI KRUSHI UDYOG SAMOOH,vishvanath.kale@agrevolution.in,Sangli,Maharashtra,5186137,1181418,0.68,1.30%,4832956,23%,B,0.76,93%,-2%,0.98,32,98%,0,0.81,0.77,Strategic
3,1000025034,AMBICA SEEDS CORPORATION,rajat.singh@agrevolution.in,Ahmedabad,Gujarat,7831157,1745424,1,0.30%,5904877,22%,B,0.74,75%,-9%,0.91,80,61%,0,0.36,0.75,Strategic
4,1000000719,M/S Lakshya Enterprises,raushan.kumar@agrevolution.in,Katihar,Bihar,4708360,921036,0.53,2.90%,3019021,20%,C,0.65,64%,-8%,0.92,23,100%,0,0.87,0.7,Strategic
5,1000041172,AVIRAT AGRO CENTER,rajat.singh@agrevolution.in,Ahmedabad,Gujarat,2920964,717287,0.41,4.60%,2920964,25%,B,0.82,100%,-1%,0.99,23,100%,0,0.87,0.69,Strategic
6,1000004846,M/s SHIVAM SALES,chinmaya.patra@agrevolution.in,Bhawanipatna,Orissa,1376826,414677,0.24,13.80%,1365493,30%,A,1,99%,-1%,0.99,8,100%,0,0.96,0.68,Strategic
7,1000009262,GAUTAM KHAD BEEJ BHANDAR,ashok.kumar5@agrevolution.in,Darbhanga,Bihar,4651090,796860,0.46,3.50%,3259792,17%,C,0.57,70%,0%,1,21,100%,Yes,0.91,0.67,Strategic
8,1000035031,BAPNA SEEDS PRIVATE LIMITED,kamal.patidar@agrevolution.in,Khargone,Madhya Pradesh,11672100,983527,0.56,2.50%,11672100,8%,D,0.28,100%,0%,1,8,100%,0,0.96,0.67,Strategic
9,1000029029,BHAGWATI FERTILIZER ODE,(blank),Ahmedabad,Gujarat,1012225,450940,0.26,12.00%,851573,45%,A,1,84%,0%,1,22,95%,0,0.86,0.66,Strategic
10,1000029133,ABHI KRISHI KENDRA,rkumar@agrevolution.in,Head Office,Bihar,3488183,732416,0.42,4.20%,2723984,21%,B,0.7,78%,0%,1,16,85%,0,0.84,0.66,Strategic
11,1000019243,M/s AMITESH CHOUDHURY,bapan.biswas@agrevolution.in,Cooch Behar,West Bengal,7395159,1148834,0.66,1.70%,3971030,16%,C,0.52,54%,-8%,0.92,38,73%,0,0.66,0.66,Strategic
12,1000027183,Shivam Krishi Kendra,vivek.kumar10@agrevolution.in,Muzaffarpur,Bihar,5752725,883266,0.51,3.00%,2603751,15%,C,0.51,45%,-2%,0.98,19,86%,0,0.82,0.65,Strategic
13,1000043571,M.CHANDRA KRISHI KENDRA,anshu.kumar2@agrevolution.in,Kasganj,Uttar Pradesh,653153,221295,0.13,32.90%,520105,34%,A,1,80%,0%,1,5,100%,0,0.97,0.64,Strategic
14,1000006019,M/s Shudhanshu Kumar,mohmmad.arman2@agrevolution.in,Ranchi,Jharkhand,4763581,994356,0.57,2.30%,2948384,21%,B,0.7,62%,-10%,0.9,41,66%,0,0.6,0.64,Strategic
15,1000008006,M/S Ambika Krishi Kendra,satyam.kumar@agrevolution.in,Samastipur,Bihar,1064389,294509,0.17,22.90%,1046749,28%,B,0.92,98%,-14%,0.86,3,100%,0,0.98,0.63,Strategic
16,1000006980,M/S TARUN CHANDRA SAHU,biswajit.das@agrevolution.in,Burdwan,West Bengal,8847280,1365190,0.78,0.90%,8819789,15%,C,0.51,100%,-5%,0.95,65,52%,0,0.4,0.63,Strategic
17,1000001450,Jay Somnath Agro Agency,mehul.pansuriya@agrevolution.in,Ahmedabad,Gujarat,10451738,1211522,0.69,1.10%,2377067,12%,C,0.39,23%,0%,1,32,52%,0,0.58,0.63,Strategic
18,1000016878,M/s.Kshirsagar Krushi Seva Kendra,dattaram.andhare@agrevolution.in,Washim,Maharashtra,4980111,739947,0.42,4.10%,2648778,15%,C,0.5,53%,0%,1,24,100%,0,0.87,0.63,Strategic
19,1000002304,K.P.Singh Kisan Seva Kendra,dharam.singh2@agrevolution.in,Kasganj,Uttar Pradesh,3946032,1103525,0.63,2.20%,3946032,28%,B,0.93,100%,-4%,0.96,64,32%,0,0.3,0.63,Strategic
20,1000040952,Bansidhar & Ila Panda Foundation,bishwaranjan.sahu@agrevolution.in,Nabarangpur,Orissa,897037,273988,0.16,24.90%,897037,31%,A,1,100%,0%,1,16,93%,0,0.88,0.63,Strategic
21,1000009747,M/s Rubail Islam,souvick.mondal@agrevolution.in,Murshidabad,West Bengal,1998152,463563,0.27,11.30%,1998152,23%,B,0.77,100%,0%,1,22,100%,0,0.88,0.62,Strategic
22,1000001604,M/S Md. Jekenus Islam,souvick.mondal@agrevolution.in,Murshidabad,West Bengal,1313357,341422,0.2,18.10%,1313357,26%,B,0.87,100%,-13%,0.87,9,100%,0,0.95,0.62,Strategic
23,1000002792,M/S Krishak Beej Kendra,mohmmad.arman2@agrevolution.in,Ranchi,Jharkhand,3099244,974909,0.56,2.70%,2816253,31%,A,1,91%,-18%,0.82,66,51%,0,0.39,0.62,Strategic
24,1000021588,New veer Teja karshi seva kendra,mahendra.saini@agrevolution.in,Jaipur,Rajasthan,6073714,860310,0.49,3.40%,5286501,14%,C,0.47,87%,-10%,0.9,29,89%,0,0.78,0.62,Strategic
25,1000044155,Kisan Seva Kendra,bipul.kumar@agrevolution.in,Begusarai,Bihar,178926,54931,0.03,79.00%,178926,31%,A,1,100%,0%,1,2,100%,0,0.99,0.61,Strategic
26,1000002284,Om Traders,dharam.singh2@agrevolution.in,Kasganj,Uttar Pradesh,10934523,782891,0.45,3.70%,10929743,7%,D,0.24,100%,-8%,0.92,7,100%,0,0.96,0.61,Strategic
27,1000019181,M/s MAHAVIR ENTERPRISES,ravi.roy@agrevolution.in,Bihar Sharif,Bihar,257400,87935,0.05,66.40%,257400,34%,A,1,100%,0%,1,-,90%,0,0.95,0.61,Strategic
28,1000008508,M/s Sai Krishi Sewa Kendra And Hardware,(blank),Bilaspur,Chhattisgarh,"84,614",30879,0.02,88.70%,84614,36%,A,1,100%,0%,1,1,100%,0,0.99,0.61,Strategic
29,1000041434,Tujabhavani Agro tech,(blank),Pune,Maharashtra,"48,169",16670,0.01,94.80%,48169,35%,A,1,100%,0%,1,-,100%,0,1,0.6,Strategic
30,1000005240,Chopra Agro Center,mewa.garhwal@agrevolution.in,Jaipur,Rajasthan,2681432,500394,0.29,9.90%,2612044,19%,C,0.62,97%,-22%,0.78,8,100%,0,0.96,0.6,Strategic
31,1000029839,M/S KHAN ENTERPRISES,dinesh.chaudhary2@agrevolution.in,Gorakhpur,Uttar Pradesh,9282189,678936,0.39,5.60%,9282189,7%,D,0.24,100%,0%,1,2,100%,0,0.99,0.6,Strategic
32,1000042018,Trisha Agro,(blank),Nashik,Maharashtra,"55,918",16531,0.01,94.90%,55918,30%,B,0.99,100%,0%,1,-,100%,0,1,0.6,Strategic
33,1000006509,M/s Kisan Seva kendra,satyam.kumar@agrevolution.in,Samastipur,Bihar,1457283,303453,0.17,22.00%,1108737,21%,B,0.69,76%,-1%,0.99,6,100%,Yes,0.98,0.6,Strategic
34,1000043020,MAA ANNAPURNA KRISHI SEWA KENDRA,nilesh.nirgude@agrevolution.in,Khandwa,Madhya Pradesh,619825,217207,0.12,33.60%,619825,35%,A,1,100%,0%,1,22,91%,0,0.83,0.6,Strategic
35,1000035379,DWARKADHISH AGRO AGENCY,(blank),Nashik,Maharashtra,328930,91360,0.05,65.10%,328930,28%,B,0.93,100%,0%,1,5,100%,0,0.97,0.6,Strategic
36,1000008260,M/S Piarul SK,nasim.aktar@agrevolution.in,Murshidabad,West Bengal,2184250,572574,0.33,7.70%,2184250,26%,B,0.87,100%,0%,1,46,79%,0,0.64,0.6,Strategic
37,1000003116,Hadoti Agro Farms Producer Company,(blank),Kota,Rajasthan,144288,41098,0.02,84.20%,144288,28%,B,0.95,100%,0%,1,3,100%,0,0.98,0.59,Strategic
38,1000000700,Raj Kumar Khad Beej Bhandar,raushan.kumar@agrevolution.in,Katihar,Bihar,3252329,511154,0.29,9.50%,1543686,16%,C,0.52,47%,0%,1,24,100%,Yes,0.9,0.59,Strategic
39,1000008587,Ritesh Urwark,vaibhav.singh1@agrevolution.in,Samastipur,Bihar,1070735,295773,0.17,22.80%,907991,28%,B,0.92,85%,0%,1,26,87%,0,0.79,0.59,Strategic
40,1000036593,M/S Kamboj Krishi Sewa Kendra,jitendra.sharma@agrevolution.in,Gwalior,Madhya Pradesh,4074701,877606,0.5,3.20%,3934642,22%,B,0.72,97%,-14%,0.86,47,55%,0,0.51,0.59,Strategic
41,1000037179,Uttam Pashu Aahar,(blank),Ranchi,Jharkhand,"58,187",17248,0.01,94.60%,58187,30%,B,0.99,100%,0%,1,10,100%,0,0.94,0.58,Strategic
42,1000001148,M/s Bohrapi Krushi Kendra,prashant.sapkal@agrevolution.in,Akola,Maharashtra,320544,97638,0.06,62.90%,299018,30%,A,1,93%,0%,1,22,99%,0,0.87,0.58,Strategic
