DeHaat Club Scheme 2026-27 — GAPL Products,,,,
Issuer: Green Agrevolution Pvt. Ltd. | Scheme Validity: 1-Jan-2026 to 31-Dec-2026 (Tours conducted by Mar/Apr 2026),,,,
,,,,
Club,Turnover Threshold (₹),Tour / Gift — West Zone,Tour / Gift — East Zone,TOD %
Director's,"₹10,000,001",Mahindra Thar (Ex-Showroom - Base Model),Mahindra Thar (Ex-Showroom - Base Model),—
Diamond,"₹6,000,000",Budapest + Vienna Single (4N5D) or Phuket + Krabi Couple (3N4D),Budapest + Vienna Single (4N5D) or Phuket + Krabi Couple (3N4D),2.25%
Platinum,"₹3,500,000",Hong Kong + Macau Single (3N4D) or Sri Lanka Couple (3N4D),Hong Kong + Macau Single (3N4D) or Sri Lanka Couple (3N4D),2.00%
Gold,"₹2,400,000",Dubai + Abu Dhabi Single (3N4D),Dubai + Abu Dhabi Single (3N4D),1.75%
Silver,"₹1,600,000",Phuket + Krabi Single (3N4D),Phuket + Krabi Single (3N4D),1.25%
Bronze,"₹900,000",Kerala Single (2N3D),Sikkim Single (2N3D),1.00%
Copper,"₹400,000",Gold Voucher (₹16K),Gold Voucher (₹16K),0.50%
,,,,
Note: Turnover thresholds shown are the entry-point (minimum) values for each club as per source documents.,,,,
