Terms & Conditions — DeHaat Club Scheme 2026-27,,
,,
#,Category,Term / Condition
1,Validity,Scheme valid 1st Jan 2026 to 31st Dec 2026. Tours to be conducted well within March/April 2026.
2,Turnover Basis,"Applies to Total Gross Business/Sales, including GST, after deducting all applicable discounts (Cashbacks, Credit Notes pertaining to Cash Discount/Product Discount/ABS Incentives/ACC Benefits etc.), Combo Offers, and stock returns."
3,Slab-Advance Bonus,"If a DC advances to the next slab in FY26-27 from its FY25-26 slab, an additional 0.25% is given on FY25-26 net sales. Example: a Bronze-club DC (FY25-26) that qualifies for Silver in FY26-27 gets extra 0.25% discount on FY25-26 net business. New entrants (first time in scheme in FY26-27) are NOT eligible for this extra benefit."
4,TOD Payout Schedule,Released twice — by Aug'26 (for business Jan'26-Jun'26) and by Feb'27 (for business Jul'26-Dec'26).
5,Applicability,"Applies to all DeHaat Centers, FPOs & non-DeHaat Centers, across all States."
6,Excluded Products,"All GAPL products EXCLUDING: Crop Nutrition (All WSF's); Cattle Feed (Khurak, Chokar); All OP Field crop (OP/Certified Paddy, Wheat, Soybean, Pulses, Groundnut, Forages); Tools & Machinery; Open Marketing Liquidation or Clearance Sales."
7,Outstanding Clearance,All outstanding accounts must be cleared by 28th Feb 2027 (invoicing till 31st Dec 2026) to claim Club eligibility.
8,Benefit Disbursement,Scheme benefits (tours/gifts) will be given in the month of Mar/Apr 2027.
9,Credit Notes on Gifts,No Credit Note (CN) will be issued against tour or gifts. Tour destination may change in case of geopolitical issues.
10,Achievement Requirement,DCs need to achieve 100% of the business as per Club scheme eligibility; no adjustment will be made for the next-level Club. Club entry is based on 100% business achievement only.
11,Taxes on Gifts,"All taxes for gifts, if any, will be borne by DeHaat Centers."
12,Scheme Modification,The company reserves the right to modify or discontinue the scheme at any time without prior notice.
13,Stock Availability,Stocks are subject to availability.
14,Jurisdiction,All transactions/disputes are subject to Gurgaon jurisdiction.
15,Geographic Scope,The scheme applies to All States.
,,
,,
"Signed by: Kamlesh Sharma, President - Agri Input, DeHaat",,
