,,,,DashBoard Link,,,,,,,,,,,,,,Category Only,Category Only,,Category Only,,,,,,,Sales Team only,,,1,0,579,0,,"11,292","15,228",Sales Team only,Sales Team only,"10,131",,"11,934",Sales Team only,Sales Team only,"7,869",,"8,732",Sales Team only,Sales Team only,"6,831","23,527","35,894","24,864",33,"24,831","39,274","28,084","20,985","88,342","16,296","14,721","15,271","46,287",0,-132,"5,765,757","4,611,078","4,608,339","14,985,174","4,134,095","3,409,315","3,669,410","11,212,820","4,812,426","3,680,402","3,701,910","12,194,737","3,238,825","2,772,559","2,992,572","9,003,956","685,665","663,478","753,377","2,102,520","529,402","504,452","531,555","1,565,409",,,,"3,941,183","3,133,292","1,987,266","9,061,741","3,327,419","2,529,462","1,758,017","7,614,898","467,896","409,790","374,820","1,252,506",
Node Key,State Key,Cluster,Cluster Key,Zone,State,Node,RBM,Material ID,Material Name,Category,Crop,Seed Segment,Segment,SubGroup Name,SKU,Margin Category,"GM%

AOP","GM%

Revised","DBA Price per Unit
Current","Net Rate per Unit

AOP ","Net Rate per Unit

Updated","Net Rate per Kg/Ltr

AOP","Net Rate per Kg/Ltr

Updated",DC Billed July-25,DC Billed Aug-25,DC Billed Sept-25,DC Billed Q2-25,"DCs to be Billed per SKU 
July 26",DCs to be Billed per SKU Aug 26,"DCs to be Billed per SKU 
Sep 26",Current Inv at Node in Units,Current Inv at Cluster in Units,Current Inv GMV at Node,Current Inv GMV at Cluster,Expected Date of  GRN,"Qty in Units

July-25","Qty in Units 
July 26 (AOP)","Sales Plan 
Qty in Units 
July 26 ","Return Plan
Qty in Units
July 26","Net Qty in Unit

July 26 (Sales Plan)","Qty in Units

Aug-25","Qty in Units 
Aug 26 (AOP)","Sales Plan 
Qty in Units 
Aug 26 ","Return Plan
Qty in Units
Aug 26","Net Qty in Unit

Aug 26 (Sales Plan)","Qty in Units

Sept-25","Qty in Units 
Sept 26 (AOP)","Sales Plan 
Qty in Units 
Sept 26 ","Return Plan
Qty in Units
Sept 26","Sales Plan 
Net Qty in Unit
Sept 26","Qty in Units

Q2-25","Qty in Units 
Q2 (AOP)","Sales Plan 
Qty in Units 
Q2 26","Return Plan 
Qty in Unit
Q2 26","Net Sales Plan 
Qty in Units
Q2 26","Qty in Kg/Ltr 
July 26 (AOP)","Qty in Kg/Ltr 
Aug 26 (AOP)","Qty in Kg/Ltr 
Sept 26 (AOP)","Qty in Kg/Ltr 
Q2 26 (AOP)","Qty in Kg/Ltr 
Sales Plan
July 26","Qty in Kg/Ltr 
Sales Plan
Aug 26","Qty in Kg/Ltr 
Sales Plan
Sept 26","Qty in Kg/Ltr 
Sales Plan
Q2 26",Q2 Paddy Qty Submitted to SCM,Difference Qty in KG,"GMV 
July 26 (AOP)","GMV 
Aug 26 (AOP)","GMV 
Sept 26 (AOP)","GMV 
Q2 26 (AOP)","GMV 
Jul 26 Sales Plan","GMV 
Aug 26 Sales Plan","GMV 
Sept 26 Sales Plan","GMV 
Q2 26 Sales Plan","
NRV 
July 26 (AOP)","
NRV 
Aug 26 (AOP)","NRV 
Sept 26 (AOP)","NRV 
Q2 26 (AOP)","NRV 
July 26 Sales Plan","NRV 
Aug 26 Sales Plan","NRV 
Sept 26 Sales Plan","NRV 
Q2 26 Sales Plan","GM 
July 26 (AOP)","GM 
Aug 26 (AOP)","GM 
Sept 26 (AOP)","GM 
Q2 26 (AOP)","GM as per 
Sales Plan
July 26","GM as per 
Sales Plan
Aug 26","GM as per 
Sales Plan
Sept 26","GM as per 
Sales Plan
Q2 26",CB/Discount%,Tax%,Monthly AOP vs Sales Plan vs Inventory as on 1st July,"GMV 
July 25 Ach","GMV 
Aug 25 Ach","GMV 
Sept 25 Ach","GMV 
Q2 25 Ach","NRV 
July 25 Ach","NRV 
Aug 25 Ach","NRV 
Sept 25 Ach","NRV 
Q2 25 Ach","GM 
July 25 Ach","GM 
Aug 25 Ach","GM 
Sept 25 Ach","GM 
Q2 25 Ach",sdfs
Arrah11000010,Bihar11000010,Patna_Cluster,Patna_Cluster11000010,East,Bihar,Arrah,Anand Kumar,11000010,DeHaat Khurak 3000 50 Kg,CATTLE FEED,,,PRIVATE LABEL,DEHAAT KHURAK 3000,50,D,9.0%,9.0%,"1,407","1,116","1,362",22,27,0,0,0,0,,,,0,0,0,0,,0,0,85,,85,0,0,0,,0,0,0,0,,0,0,0,85,0,85,0,0,0,0,4250,0,0,"4,250",0,0,0,0,0,0,"119,850",0,0,"119,850",0,0,0,0,"115,770",0,0,"115,770",0,0,0,0,"10,419",0,0,"10,419",3%,0%,No AOP | Plan > Inventory (Shortage),0,0,0,0,,0,,0,,0,,0,Arrah
Arrah11000013,Bihar11000013,Patna_Cluster,Patna_Cluster11000013,East,Bihar,Arrah,Anand Kumar,11000013,DeHaat Khurak 5000 50 Kg,CATTLE FEED,,,PRIVATE LABEL,DEHAAT KHURAK 5000,50,D,9.0%,9.0%,"1,510","1,242","1,230",25,25,2,1,1,3,,,,0,0,0,0,,-5,20,,,0,15,20,,,0,23,31,31,,31,33,71,31,0,31,"1,010","1,010","1,549","3,569",0,0,"1,549","1,549",0,0,"25,867","25,867","39,663","91,396",0,0,"46,774","46,774","25,091","25,091","38,473","88,655",0,0,"38,101","38,101","2,258","2,258","3,463","7,979",0,0,"3,429","3,429",3%,0%,In AOP but Plan is ZERO,"-6,150","19,350","29,670","42,870","-6,058","19,083","29,225","42,250",-427,"2,188","3,319","5,080",Arrah
Arrah12000130,Bihar12000130,Patna_Cluster,Patna_Cluster12000130,East,Bihar,Arrah,Anand Kumar,12000130,Chelated Boron 14.5% 1 Kg,CROP NUTRITION,,,PRIVATE LABEL,CHELATED BORON 14.5%,1,C,18.0%,18.0%,180,165,125,165,125,2,2,,4,,,,0,11132,0,"1,590,285",,75,109,100,,100,135,196,150,,150,,0,,,0,210,304,250,0,250,109,196,0,304,100,150,0,250,0,0,"18,832","33,897",0,"52,728","18,000","27,000",0,"45,000","17,935","32,283",0,"50,217","12,500","18,750",0,"31,250","3,228","5,811",0,"9,039","2,250","3,375",0,"5,625",0%,5%,Plan < AOP | Plan < Inventory (Excess),"12,000","21,600",,"33,600","9,423","17,495",,"26,918","3,511","6,850",,"10,361",Arrah
Arrah12000131,Bihar12000131,Patna_Cluster,Patna_Cluster12000131,East,Bihar,Arrah,Anand Kumar,12000131,Chelates Boron 20% 250 gm,CROP NUTRITION,,,PRIVATE LABEL,CHELATES BORON 20%,0.25,A,37.0%,37.0%,95,69,69,275,276,0,0,0,0,,,,0,752,0,"77,214",,0,0,,,0,0,22,,,0,0,59,59,,59,0,82,59,0,59,0,6,15,20,0,0,15,15,0,0,0,"1,604","4,280","5,884",0,0,"5,633","5,633",0,"1,528","4,076","5,604",0,0,"4,091","4,091",0,565,"1,508","2,073",0,0,"1,514","1,514",0%,5%,No AOP | Plan < Inventory (Excess),0,0,0,0,0,0,0,0,0,0,0,0,Arrah
Arrah12000933,Bihar12000933,Patna_Cluster,Patna_Cluster12000933,East,Bihar,Arrah,Anand Kumar,12000933,IKKON HS 250 ml,CROP NUTRITION,,,PRIVATE LABEL,IKKON HS,0.25,C,15.0%,15.0%,105,125,125,500,500,0,0,0,0,,,,0,238,0,"49,980",,0,7,,,0,0,0,0,,0,0,0,,,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,0,863,0,0,863,0,0,0,0,822,0,0,822,0,0,0,0,123,0,0,123,0,0,0,0,0%,5%,In AOP but Plan is ZERO,0,0,0,0,0,0,0,0,0,0,0,0,Arrah
Arrah12000377,Bihar12000377,Patna_Cluster,Patna_Cluster12000377,East,Bihar,Arrah,Anand Kumar,12000377,Micronutrients ZnSo4 250 gm,CROP NUTRITION,,,PRIVATE LABEL,MICRONUTRIENTS ZNSO4,0.25,B,29.0%,29.0%,49,34,37,136,148,,,1,1,,,,0,3500,0,"171,875",,,0,500,,500,,0,0,,0,200,313,313,,313,200,313,813,0,813,0,0,78,78,125,0,78,203,0,0,0,0,"11,156","11,156","24,500",0,"15,313","39,813",0,0,"10,625","10,625","18,500",0,"11,563","30,063",0,0,"3,081","3,081","5,365",0,"3,353","8,718",0%,5%,No AOP | Plan < Inventory (Excess),,,"7,200","7,200",,,"6,651","6,651",,,"1,471","1,471",Arrah
Arrah12001074,Bihar12001074,Patna_Cluster,Patna_Cluster12001074,East,Bihar,Arrah,Anand Kumar,12001074,Nutri One Akillis GA 0.001% 100 ML,CROP NUTRITION,,,PRIVATE LABEL,NUTRI ONE AKILLIS GA,0.1,A,43.0%,43.0%,52,36,34,355,340,0,0,0,0,,,,0,98,0,"7,000",,0,0,,,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5%,No AOP | Plan < Inventory (Excess),0,0,0,0,0,0,0,0,0,0,0,0,Arrah
Arrah12001100,Bihar12001100,Patna_Cluster,Patna_Cluster12001100,East,Bihar,Arrah,Anand Kumar,12001100,NUTRI ONE N-ERGY 10 KG,CROP NUTRITION,,,PRIVATE LABEL,NUTRI ONE N-ERGY,10,B,23.0%,23.0%,450,390,390,39,39,1,2,,2,,,,0,1107,0,"664,200",,20,36,150,,150,6,29,200,,200,,0,,,0,26,65,350,0,350,364,291,0,655,1500,"2,000",0,"3,500",0,0,"14,891","11,913",0,"26,804","67,500","90,000",0,"157,500","14,182","11,345",0,"25,527","58,500","78,000",0,"136,500","3,262","2,609",0,"5,871","13,455","17,940",0,"31,395",0%,5%,Plan > AOP | Plan < Inventory (Excess),"9,000","2,700",,"11,700","8,143","1,791",,"9,934","2,022",-42,,"1,980",Arrah
